#T eMean sigmaE mMean sigmaM 
4.000000 536.799988 3212.179443 71.400002 3349.639404
3.996000 588.000000 1734.406250 35.000000 920.199951
3.992000 546.400024 3671.013428 53.000000 908.200195
3.988000 556.400024 2004.606567 54.400002 2985.440186
3.984000 589.600037 1875.796875 46.000004 724.799683
3.980000 552.799988 1826.579712 29.400000 124.840034
3.976000 585.200012 2780.945801 77.400002 4532.839355
3.972000 578.000000 1031.187500 38.000000 923.199951
3.968000 589.200073 2566.492432 40.799999 744.160095
3.964000 571.600037 2522.991943 62.599998 2812.040527
3.960000 611.200012 2156.170166 37.799999 869.160034
3.956000 562.400024 2659.775146 49.599998 951.040100
3.952000 553.599976 663.067017 67.800003 1671.559448
3.948000 610.399963 1242.291016 48.399998 1264.640869
3.944000 587.599976 1547.049927 29.999998 397.600098
3.940000 582.000000 1988.000000 55.000000 2009.799805
3.936000 568.799988 3167.386475 35.200001 568.959961
3.932000 579.199951 1292.229004 63.200001 1568.959595
3.928000 584.000061 1772.741211 38.599998 1437.640503
3.924000 594.000000 4816.781250 52.599998 1210.440308
3.920000 595.199951 1865.018066 42.200001 783.560059
3.916000 623.999939 2508.857422 57.799999 3137.160156
3.912000 582.400024 1639.024048 58.199997 2087.560059
3.908000 569.600037 4179.798340 65.400002 2253.639648
3.904000 574.799988 4320.192871 52.199997 640.360535
3.900000 562.799988 1244.954956 42.799999 1270.560181
3.896000 593.599976 1763.881470 67.000000 1429.800293
3.892000 602.000000 2698.406250 66.600006 928.839111
3.888000 597.600037 2547.790039 50.000000 1125.599854
3.884000 599.999939 2364.885742 43.600002 2667.039795
3.880000 582.000000 1380.000000 50.000000 768.000000
3.876000 590.399963 1923.883301 73.199997 2296.160889
3.872000 581.200012 4188.952148 51.599998 1247.840332
3.868000 594.400024 4288.610840 51.600002 1623.839722
3.864000 566.000000 2183.218750 36.599998 340.840027
3.860000 604.399963 2881.496826 62.600002 1481.639160
3.856000 574.399963 5405.432129 48.200001 1745.159790
3.852000 607.999939 2550.449219 43.400002 444.039978
3.848000 553.599976 2275.848389 63.799999 858.760315
3.844000 588.799927 4217.021484 72.199997 2549.160400
3.840000 595.200012 1196.164185 38.200001 1037.959839
3.836000 585.199951 2489.829590 53.800003 2008.359985
3.832000 613.199951 2118.632324 49.000000 680.200195
3.828000 606.000000 3428.000000 60.000000 1824.000000
3.824000 606.000000 3946.375000 29.800001 902.760010
3.820000 617.200012 2406.551270 61.600002 2163.039795
3.816000 590.000000 1354.406250 75.000000 1693.000000
3.812000 618.400024 2202.191162 46.200001 2618.759521
3.808000 588.399963 2878.264404 53.600002 234.239700
3.804000 572.000000 1692.812500 42.400002 609.439819
3.800000 600.799988 3871.374756 84.599998 3187.240723
